Week,Total Cases,Total Deaths,Country_ID,Year,Disease_ID
1,64,0.0,35,2009,2
1,233,0.0,15,2009,2
1,5,0.0,36,2009,2
1,2,0.0,37,2009,2
1,36,0.0,16,2009,2
1,45,0.0,18,2009,2
1,4484,6.0,0,2009,2
1,393,0.0,38,2009,2
1,98,0.0,1,2009,2
1,74,0.0,32,2009,2
1,147,5.0,39,2009,2
1,20,0.0,40,2009,2
1,1,0.0,41,2009,2
1,5,0.0,42,2009,2
1,2,0.0,43,2009,2
1,102,0.0,44,2009,2
1,40,0.0,45,2009,2
1,11,0.0,33,2009,2
1,85,0.0,2,2009,2
1,87,0.0,3,2009,2
1,54377,377.0,46,2009,2
1,7,0.0,47,2009,2
1,22,0.0,48,2009,2
1,4,0.0,49,2009,2
1,4,0.0,50,2009,2
1,5,0.0,20,2009,2
1,7,0.0,4,2009,2
1,43,0.0,51,2009,2
1,101,0.0,5,2009,2
1,1740,0.0,22,2009,2
1,72,0.0,23,2009,2
1,10,0.0,19,2009,2
1,21691,403.0,52,2009,2
1,15,0.0,53,2009,2
1,45,0.0,29,2009,2
1,20,0.0,54,2009,2
1,411,0.0,55,2009,2
1,115,0.0,56,2009,2
1,12,0.0,25,2009,2
1,15,0.0,30,2009,2
1,5,0.0,57,2009,2
1,81,0.0,31,2009,2
1,3,0.0,17,2009,2
1,8,0.0,34,2009,2
1,5,0.0,6,2009,2
1,1,0.0,58,2009,2
1,676,0.0,8,2009,2
1,16,0.0,27,2009,2
1,15,0.0,9,2009,2
1,10,0.0,11,2009,2
1,10,0.0,59,2009,2
1,716,0.0,12,2009,2
1,34559,49.0,13,2009,2
1,2,0.0,60,2009,2
2,580,0.0,35,2009,2
2,2725,0.0,15,2009,2
2,9,0.0,36,2009,2
2,4,0.0,61,2009,2
2,4,0.0,37,2009,2
2,3,0.0,62,2009,2
2,52,0.0,16,2009,2
2,12,0.0,63,2009,2
2,101,0.0,18,2009,2
2,4,0.0,28,2009,2
2,6776,10.0,0,2009,2
2,1343,2.0,38,2009,2
2,318,0.0,1,2009,2
2,89,0.0,32,2009,2
2,223,4.0,39,2009,2
2,17,0.0,40,2009,2
2,4,0.0,64,2009,2
2,6,0.0,41,2009,2
2,13,0.0,42,2009,2
2,1,0.0,65,2009,2
2,90,1.0,43,2009,2
2,181,0.0,44,2009,2
2,3,0.0,66,2009,2
2,186,0.0,45,2009,2
2,8,0.0,67,2009,2
2,15,0.0,33,2009,2
2,155,0.0,2,2009,2
2,162,0.0,3,2009,2
2,83911,496.0,46,2009,2
2,19,0.0,47,2009,2
2,79,0.0,48,2009,2
2,72,0.0,49,2009,2
2,8,0.0,68,2009,2
2,4,0.0,50,2009,2
2,10,0.0,20,2009,2
2,27,0.0,4,2009,2
2,145,0.0,51,2009,2
2,147,0.0,5,2009,2
2,10,0.0,69,2009,2
2,1575,0.0,22,2009,2
2,72,0.0,23,2009,2
2,9,0.0,70,2009,2
2,2,0.0,71,2009,2
2,11,0.0,19,2009,2
2,21338,403.0,52,2009,2
2,21,0.0,53,2009,2
2,44,0.0,29,2009,2
2,24,0.0,72,2009,2
2,26,0.0,54,2009,2
2,614,0.0,55,2009,2
2,20,0.0,73,2009,2
2,184,0.0,56,2009,2
2,94,0.0,25,2009,2
2,17,0.0,30,2009,2
2,7,0.0,57,2009,2
2,162,0.0,31,2009,2
2,25,0.0,17,2009,2
2,12,0.0,34,2009,2
2,2,0.0,74,2009,2
2,41,0.0,6,2009,2
2,10,0.0,58,2009,2
2,867,0.0,8,2009,2
2,38,0.0,27,2009,2
2,44,0.0,9,2009,2
2,20,0.0,11,2009,2
2,2,0.0,75,2009,2
2,26,0.0,59,2009,2
2,1,0.0,76,2009,2
2,1554,0.0,12,2009,2
2,43299,76.0,13,2009,2
2,58,0.0,60,2009,2
2,13,0.0,77,2009,2
2,16,0.0,14,2009,2
3,1910,1.0,35,2009,2
3,7773,0.0,15,2009,2
3,33,0.0,36,2009,2
3,7,0.0,61,2009,2
3,16,0.0,37,2009,2
3,14,0.0,62,2009,2
3,78,0.0,16,2009,2
3,31,0.0,63,2009,2
3,261,0.0,18,2009,2
3,10,0.0,28,2009,2
3,14897,23.0,0,2009,2
3,9111,10.0,38,2009,2
3,1204,0.0,1,2009,2
3,200,4.0,32,2009,2
3,554,5.0,39,2009,2
3,29,0.0,40,2009,2
3,5,0.0,64,2009,2
3,18,0.0,41,2009,2
3,56,0.0,42,2009,2
3,5,0.0,65,2009,2
3,459,5.0,43,2009,2
3,360,0.0,44,2009,2
3,72,0.0,66,2009,2
3,427,0.0,45,2009,2
3,20,0.0,67,2009,2
3,28,0.0,33,2009,2
3,417,0.0,2,2009,2
3,633,0.0,3,2009,2
3,161728,760.0,46,2009,2
3,61,0.0,47,2009,2
3,441,3.0,48,2009,2
3,456,0.0,49,2009,2
3,19,0.0,68,2009,2
3,17,0.0,50,2009,2
3,68,0.0,20,2009,2
3,60,0.0,4,2009,2
3,468,0.0,51,2009,2
3,299,0.0,5,2009,2
3,51,0.0,69,2009,2
3,2823,0.0,22,2009,2
3,2,0.0,78,2009,2
3,90,0.0,23,2009,2
3,43,0.0,70,2009,2
3,6,0.0,71,2009,2
3,37,0.0,19,2009,2
3,30681,538.0,52,2009,2
3,4,0.0,79,2009,2
3,217,0.0,53,2009,2
3,286,0.0,29,2009,2
3,304,0.0,72,2009,2
3,61,0.0,54,2009,2
3,1207,0.0,55,2009,2
3,116,0.0,73,2009,2
3,410,0.0,56,2009,2
3,478,0.0,25,2009,2
3,34,0.0,30,2009,2
3,12,0.0,57,2009,2
3,3,0.0,80,2009,2
3,284,0.0,31,2009,2
3,60,0.0,17,2009,2
3,15,0.0,34,2009,2
3,1,0.0,81,2009,2
3,31,0.0,74,2009,2
3,150,0.0,6,2009,2
3,15,0.0,58,2009,2
3,2163,0.0,8,2009,2
3,1,0.0,82,2009,2
3,123,0.0,27,2009,2
3,105,0.0,9,2009,2
3,363,0.0,11,2009,2
3,18,0.0,75,2009,2
3,56,0.0,59,2009,2
3,5,0.0,83,2009,2
3,5,0.0,76,2009,2
3,5012,1.0,12,2009,2
3,75361,170.0,13,2009,2
3,156,0.0,60,2009,2
3,120,0.0,77,2009,2
3,106,0.0,14,2009,2
3,4,0.0,84,2009,2
3,1,0.0,85,2009,2
4,5,0.0,86,2009,2
4,4,0.0,87,2009,2
4,4532,39.0,35,2009,2
4,10772,6.0,15,2009,2
4,41,0.0,36,2009,2
4,12,0.0,61,2009,2
4,57,0.0,37,2009,2
4,3,0.0,88,2009,2
4,23,0.0,62,2009,2
4,114,0.0,16,2009,2
4,127,0.0,63,2009,2
4,960,0.0,18,2009,2
4,16,0.0,89,2009,2
4,16,0.0,28,2009,2
4,6,0.0,90,2009,2
4,23804,59.0,0,2009,2
4,6,0.0,91,2009,2
4,16941,17.0,38,2009,2
4,3253,0.0,1,2009,2
4,274,7.0,32,2009,2
4,709,4.0,39,2009,2
4,4,0.0,92,2009,2
4,79,0.0,40,2009,2
4,19,0.0,64,2009,2
4,28,0.0,41,2009,2
4,120,0.0,42,2009,2
4,4,0.0,65,2009,2
4,402,6.0,43,2009,2
4,421,0.0,44,2009,2
4,151,0.0,66,2009,2
4,640,0.0,45,2009,2
4,23,0.0,67,2009,2
4,4,0.0,93,2009,2
4,5,0.0,94,2009,2
4,78,0.0,33,2009,2
4,650,0.0,2,2009,2
4,1147,0.0,3,2009,2
4,212128,912.0,46,2009,2
4,210,0.0,47,2009,2
4,850,5.0,48,2009,2
4,452,1.0,49,2009,2
4,29,0.0,68,2009,2
4,16,0.0,50,2009,2
4,202,0.0,20,2009,2
4,2,0.0,21,2009,2
4,1,0.0,95,2009,2
4,91,0.0,4,2009,2
4,1290,0.0,51,2009,2
4,374,0.0,5,2009,2
4,71,0.0,69,2009,2
4,3482,0.0,22,2009,2
4,45,0.0,78,2009,2
4,100,0.0,23,2009,2
4,9,0.0,96,2009,2
4,2,0.0,97,2009,2
4,74,0.0,70,2009,2
4,11,0.0,71,2009,2
4,182,0.0,19,2009,2
4,31374,457.0,52,2009,2
4,2,0.0,98,2009,2
4,34,0.0,79,2009,2
4,420,0.0,53,2009,2
4,1313,0.0,29,2009,2
4,818,0.0,72,2009,2
4,78,0.0,54,2009,2
4,12,0.0,99,2009,2
4,1290,0.0,55,2009,2
4,4,0.0,100,2009,2
4,212,0.0,73,2009,2
4,795,0.0,56,2009,2
4,1545,2.0,25,2009,2
4,46,0.0,30,2009,2
4,24,0.0,57,2009,2
4,31,0.0,80,2009,2
4,446,0.0,31,2009,2
4,74,0.0,17,2009,2
4,12,0.0,34,2009,2
4,4,0.0,81,2009,2
4,150,0.0,74,2009,2
4,2,0.0,101,2009,2
4,728,0.0,6,2009,2
4,17,0.0,58,2009,2
4,5,0.0,7,2009,2
4,4,0.0,26,2009,2
4,2114,0.0,8,2009,2
4,17,0.0,82,2009,2
4,44,0.0,102,2009,2
4,207,0.0,27,2009,2
4,138,0.0,9,2009,2
4,2655,0.0,11,2009,2
4,86,0.0,75,2009,2
4,4,0.0,103,2009,2
4,92,0.0,59,2009,2
4,4,0.0,83,2009,2
4,13,0.0,76,2009,2
4,10810,4.0,12,2009,2
4,82202,305.0,13,2009,2
4,462,0.0,60,2009,2
4,3,0.0,104,2009,2
4,419,0.0,77,2009,2
4,181,0.0,14,2009,2
4,30,0.0,84,2009,2
4,21,0.0,85,2009,2
5,14,0.0,86,2009,2
5,8,0.0,87,2009,2
5,7147,135.0,35,2009,2
5,17994,33.0,15,2009,2
5,61,0.0,36,2009,2
5,23,0.0,61,2009,2
5,60,0.0,37,2009,2
5,32,0.0,88,2009,2
5,44,0.0,62,2009,2
5,193,0.0,16,2009,2
5,1030,0.0,63,2009,2
5,2,0.0,105,2009,2
5,2606,3.0,18,2009,2
5,267,0.0,89,2009,2
5,37,0.0,28,2009,2
5,26,0.0,90,2009,2
5,31724,96.0,0,2009,2
5,12,0.0,91,2009,2
5,26149,47.0,38,2009,2
5,6814,0.0,1,2009,2
5,400,8.0,32,2009,2
5,1,0.0,106,2009,2
5,1038,8.0,39,2009,2
5,8,0.0,92,2009,2
5,1,0.0,107,2009,2
5,238,0.0,40,2009,2
5,252,0.0,64,2009,2
5,48,0.0,41,2009,2
5,228,0.0,42,2009,2
5,4,0.0,65,2009,2
5,432,8.0,43,2009,2
5,655,0.0,44,2009,2
5,262,0.0,66,2009,2
5,1024,0.0,45,2009,2
5,52,0.0,67,2009,2
5,10,0.0,93,2009,2
5,8,0.0,94,2009,2
5,142,0.0,33,2009,2
5,1169,0.0,2,2009,2
5,1758,0.0,3,2009,2
5,261634,1143.0,46,2009,2
5,438,0.0,47,2009,2
5,1048,8.0,48,2009,2
5,2,0.0,108,2009,2
5,482,4.0,49,2009,2
5,40,0.0,68,2009,2
5,16,0.0,50,2009,2
5,401,0.0,20,2009,2
5,44,0.0,21,2009,2
5,4,0.0,95,2009,2
5,44,0.0,109,2009,2
5,205,0.0,4,2009,2
5,2233,0.0,51,2009,2
5,511,0.0,5,2009,2
5,117,0.0,69,2009,2
5,5714,0.0,22,2009,2
5,83,0.0,78,2009,2
5,28,0.0,110,2009,2
5,134,0.0,23,2009,2
5,14,0.0,96,2009,2
5,4,0.0,97,2009,2
5,160,0.0,70,2009,2
5,1,0.0,111,2009,2
5,8,0.0,112,2009,2
5,18,0.0,71,2009,2
5,448,0.0,19,2009,2
5,26,0.0,113,2009,2
5,9,0.0,114,2009,2
5,37483,470.0,52,2009,2
5,1,0.0,115,2009,2
5,24,0.0,98,2009,2
5,62,0.0,79,2009,2
5,3,0.0,116,2009,2
5,16,0.0,117,2009,2
5,573,0.0,53,2009,2
5,3269,3.0,29,2009,2
5,1199,0.0,72,2009,2
5,2,0.0,118,2009,2
5,145,0.0,54,2009,2
5,13,0.0,99,2009,2
5,2,0.0,119,2009,2
5,1654,0.0,55,2009,2
5,4,0.0,100,2009,2
5,390,1.0,73,2009,2
5,2352,0.0,56,2009,2
5,5140,4.0,25,2009,2
5,73,0.0,30,2009,2
5,97,0.0,57,2009,2
5,53,0.0,80,2009,2
5,808,0.0,31,2009,2
5,129,0.0,17,2009,2
5,12,0.0,34,2009,2
5,3,0.0,120,2009,2
5,4,0.0,81,2009,2
5,353,0.0,74,2009,2
5,47,0.0,101,2009,2
5,3233,0.0,6,2009,2
5,58,0.0,58,2009,2
5,27,0.0,7,2009,2
5,32,0.0,26,2009,2
5,2794,3.0,8,2009,2
5,60,0.0,82,2009,2
5,44,0.0,102,2009,2
5,294,0.0,27,2009,2
5,253,0.0,9,2009,2
5,1,0.0,121,2009,2
5,5678,13.0,11,2009,2
5,224,0.0,75,2009,2
5,13,0.0,103,2009,2
5,139,0.0,59,2009,2
5,2,0.0,122,2009,2
5,4,0.0,83,2009,2
5,32,0.0,76,2009,2
5,25800,10.0,12,2009,2
5,123257,594.0,13,2009,2
5,780,6.0,60,2009,2
5,8,0.0,104,2009,2
5,775,0.0,77,2009,2
5,519,0.0,14,2009,2
5,112,0.0,84,2009,2
5,28,0.0,85,2009,2
