,Week,Cases,Deaths,Country_ID,Year,Disease_ID
0,1,62,15,0,2003,1
1,1,1226,36,1,2003,1
2,1,1,0,2,2003,1
3,1,12,0,3,2003,1
4,1,3,0,4,2003,1
5,1,5,0,5,2003,1
6,1,256,0,6,2003,1
7,1,5,0,7,2003,1
8,1,5,0,8,2003,1
9,1,25,0,9,2003,1
10,1,28,0,10,2003,1
11,1,17,0,11,2003,1
12,1,11,0,12,2003,1
13,1,94,0,13,2003,1
14,1,398,14,14,2003,1
15,2,1,0,15,2003,1
16,2,1,0,16,2003,1
17,2,221,23,0,2003,1
18,2,7901,280,1,2003,1
19,2,7,0,2,2003,1
20,2,30,0,3,2003,1
21,2,13,0,4,2003,1
22,2,16,0,5,2003,1
23,2,15,0,17,2003,1
24,2,579,12,6,2003,1
25,2,17,0,9,2003,1
26,2,61,0,10,2003,1
27,2,28,3,11,2003,1
28,2,21,0,12,2003,1
29,2,362,0,13,2003,1
30,2,406,28,14,2003,1
31,3,6,0,15,2003,1
32,3,4,0,16,2003,1
33,3,6,0,18,2003,1
34,3,538,55,0,2003,1
35,3,14431,494,1,2003,1
36,3,21,0,2,2003,1
37,3,35,0,3,2003,1
38,3,8,0,4,2003,1
39,3,21,0,5,2003,1
40,3,4,4,19,2003,1
41,3,9,0,17,2003,1
42,3,731,42,6,2003,1
43,3,6,0,8,2003,1
44,3,10,0,9,2003,1
45,3,118,0,10,2003,1
46,3,49,14,11,2003,1
47,3,28,0,12,2003,1
48,3,810,0,13,2003,1
49,3,421,28,14,2003,1
50,4,3,0,15,2003,1
51,4,14,0,18,2003,1
52,4,725,81,0,2003,1
53,4,17847,758,1,2003,1
54,4,34,0,2,2003,1
55,4,42,0,3,2003,1
56,4,1,0,20,2003,1
57,4,4,0,21,2003,1
58,4,7,0,4,2003,1
59,4,21,0,5,2003,1
60,4,12,0,22,2003,1
61,4,7,0,23,2003,1
62,4,29,7,19,2003,1
63,4,3,0,24,2003,1
64,4,4,0,25,2003,1
65,4,7,0,17,2003,1
66,4,1055,80,6,2003,1
67,4,6,0,26,2003,1
68,4,7,0,8,2003,1
69,4,4,0,27,2003,1
70,4,7,0,9,2003,1
71,4,163,0,10,2003,1
72,4,54,14,11,2003,1
73,4,40,0,12,2003,1
74,4,1245,0,13,2003,1
75,4,376,28,14,2003,1
76,5,16,0,15,2003,1
77,5,14,0,18,2003,1
78,5,2,0,28,2003,1
79,5,955,92,0,2003,1
80,5,24320,1323,1,2003,1
81,5,35,0,2,2003,1
82,5,46,0,3,2003,1
83,5,7,0,20,2003,1
84,5,7,0,21,2003,1
85,5,7,0,4,2003,1
86,5,23,0,5,2003,1
87,5,21,0,22,2003,1
88,5,7,0,23,2003,1
89,5,37,10,19,2003,1
90,5,21,0,24,2003,1
91,5,12,5,25,2003,1
92,5,7,0,17,2003,1
93,5,1294,119,6,2003,1
94,5,7,0,26,2003,1
95,5,7,0,8,2003,1
96,5,21,0,27,2003,1
97,5,7,0,9,2003,1
98,5,231,0,10,2003,1
99,5,51,14,11,2003,1
100,5,42,0,12,2003,1
101,5,632,0,13,2003,1
102,5,441,35,14,2003,1
103,6,14,0,18,2003,1
104,6,7,0,28,2003,1
105,6,1023,140,0,2003,1
106,6,34919,2178,1,2003,1
107,6,35,0,2,2003,1
108,6,49,0,3,2003,1
109,6,3,0,20,2003,1
110,6,11,0,21,2003,1
111,6,7,0,4,2003,1
112,6,57,0,5,2003,1
113,6,10,0,22,2003,1
114,6,7,0,23,2003,1
115,6,41,14,19,2003,1
116,6,43,0,24,2003,1
117,6,2,0,29,2003,1
118,6,26,14,25,2003,1
119,6,3,0,30,2003,1
120,6,5,0,31,2003,1
121,6,7,0,17,2003,1
122,6,1406,167,6,2003,1
123,6,7,0,26,2003,1
124,6,7,0,8,2003,1
125,6,21,0,27,2003,1
126,6,7,0,9,2003,1
127,6,548,20,10,2003,1
128,6,49,14,11,2003,1
129,6,42,0,12,2003,1
130,6,339,0,13,2003,1
131,6,441,35,14,2003,1
132,7,14,0,18,2003,1
133,7,7,0,28,2003,1
134,7,1021,154,0,2003,1
135,7,44278,3012,1,2003,1
136,7,6,0,32,2003,1
137,7,4,0,33,2003,1
138,7,42,0,2,2003,1
139,7,57,0,3,2003,1
140,7,6,0,20,2003,1
141,7,14,0,21,2003,1
142,7,7,0,4,2003,1
143,7,63,0,5,2003,1
144,7,7,0,23,2003,1
145,7,48,14,19,2003,1
146,7,61,0,24,2003,1
147,7,7,0,29,2003,1
148,7,56,14,25,2003,1
149,7,7,0,30,2003,1
150,7,8,0,31,2003,1
151,7,7,0,17,2003,1
152,7,1430,189,6,2003,1
153,7,7,7,26,2003,1
154,7,7,0,8,2003,1
155,7,21,0,27,2003,1
156,7,7,0,9,2003,1
157,7,993,93,10,2003,1
158,7,49,14,11,2003,1
159,7,42,0,12,2003,1
160,7,445,0,13,2003,1
161,7,441,35,14,2003,1
162,8,14,0,18,2003,1
163,8,4,0,28,2003,1
164,8,988,160,0,2003,1
165,8,48202,3611,1,2003,1
166,8,7,0,32,2003,1
167,8,7,0,33,2003,1
168,8,49,0,2,2003,1
169,8,63,0,3,2003,1
170,8,21,0,20,2003,1
171,8,14,0,21,2003,1
172,8,7,0,4,2003,1
173,8,63,0,5,2003,1
174,8,7,0,23,2003,1
175,8,49,14,19,2003,1
176,8,63,0,24,2003,1
177,8,7,0,29,2003,1
178,8,80,14,25,2003,1
179,8,20,0,31,2003,1
180,8,7,0,17,2003,1
181,8,1437,196,6,2003,1
182,8,7,7,26,2003,1
183,8,7,0,8,2003,1
184,8,21,0,27,2003,1
185,8,7,0,9,2003,1
186,8,1984,246,10,2003,1
187,8,55,14,11,2003,1
188,8,28,0,12,2003,1
189,8,457,0,13,2003,1
190,8,441,35,14,2003,1
191,9,12,0,15,2003,1
192,9,14,0,18,2003,1
193,9,1005,170,0,2003,1
194,9,49161,4011,1,2003,1
195,9,7,0,32,2003,1
196,9,7,0,33,2003,1
197,9,49,0,2,2003,1
198,9,63,0,3,2003,1
199,9,21,0,20,2003,1
200,9,14,0,21,2003,1
201,9,7,0,4,2003,1
202,9,63,0,5,2003,1
203,9,7,0,23,2003,1
204,9,47,14,19,2003,1
205,9,63,0,24,2003,1
206,9,7,0,29,2003,1
207,9,84,14,25,2003,1
208,9,21,0,31,2003,1
209,9,7,0,17,2003,1
210,9,1442,212,6,2003,1
211,9,7,7,26,2003,1
212,9,7,0,8,2003,1
213,9,21,0,27,2003,1
214,9,7,0,9,2003,1
215,9,3768,461,10,2003,1
216,9,56,14,11,2003,1
217,9,28,0,12,2003,1
218,9,457,0,13,2003,1
219,9,441,35,14,2003,1
220,10,6,0,15,2003,1
221,10,14,0,18,2003,1
222,10,1343,207,0,2003,1
223,10,49499,4282,1,2003,1
224,10,7,0,32,2003,1
225,10,7,0,33,2003,1
226,10,49,0,2,2003,1
227,10,68,0,3,2003,1
228,10,21,0,20,2003,1
229,10,14,0,21,2003,1
230,10,7,0,4,2003,1
231,10,63,0,5,2003,1
232,10,7,0,23,2003,1
233,10,35,14,19,2003,1
234,10,63,0,24,2003,1
235,10,7,0,29,2003,1
236,10,84,14,25,2003,1
237,10,21,0,31,2003,1
238,10,7,0,17,2003,1
239,10,5,0,34,2003,1
240,10,1442,217,6,2003,1
241,10,7,7,26,2003,1
242,10,7,0,8,2003,1
243,10,21,0,27,2003,1
244,10,7,0,9,2003,1
245,10,4721,567,10,2003,1
246,10,56,14,11,2003,1
247,10,28,0,12,2003,1
248,10,470,0,13,2003,1
249,10,441,35,14,2003,1
250,11,16,0,18,2003,1
251,11,1387,191,0,2003,1
252,11,42496,3788,1,2003,1
253,11,6,0,32,2003,1
254,11,6,0,33,2003,1
255,11,42,0,2,2003,1
256,11,60,0,3,2003,1
257,11,18,0,20,2003,1
258,11,12,0,21,2003,1
259,11,6,0,4,2003,1
260,11,54,0,5,2003,1
261,11,6,0,23,2003,1
262,11,30,12,19,2003,1
263,11,54,0,24,2003,1
264,11,6,0,29,2003,1
265,11,76,12,25,2003,1
266,11,18,0,31,2003,1
267,11,6,0,17,2003,1
268,11,6,0,34,2003,1
269,11,1236,186,6,2003,1
270,11,6,6,26,2003,1
271,11,6,0,8,2003,1
272,11,18,0,27,2003,1
273,11,6,0,9,2003,1
274,11,4110,486,10,2003,1
275,11,53,12,11,2003,1
276,11,24,0,12,2003,1
277,11,417,0,13,2003,1
278,11,378,30,14,2003,1
279,12,18,0,18,2003,1
280,12,1472,200,0,2003,1
281,12,42492,3853,1,2003,1
282,12,6,0,32,2003,1
283,12,6,0,33,2003,1
284,12,42,0,2,2003,1
285,12,60,0,3,2003,1
286,12,18,0,20,2003,1
287,12,12,0,21,2003,1
288,12,6,0,4,2003,1
289,12,54,0,5,2003,1
290,12,6,0,23,2003,1
291,12,30,12,19,2003,1
292,12,54,0,24,2003,1
293,12,6,0,29,2003,1
294,12,84,12,25,2003,1
295,12,18,0,31,2003,1
296,12,6,0,17,2003,1
297,12,6,0,34,2003,1
298,12,1236,186,6,2003,1
299,12,6,6,26,2003,1
300,12,6,0,8,2003,1
301,12,18,0,27,2003,1
302,12,6,0,9,2003,1
303,12,4174,501,10,2003,1
304,12,54,12,11,2003,1
305,12,24,0,12,2003,1
306,12,443,0,13,2003,1
307,12,378,30,14,2003,1
308,13,5,0,15,2003,1
309,13,16,0,18,2003,1
310,13,1505,223,0,2003,1
311,13,42497,3868,1,2003,1
312,13,6,0,32,2003,1
313,13,6,0,33,2003,1
314,13,42,0,2,2003,1
315,13,60,0,3,2003,1
316,13,18,0,20,2003,1
317,13,12,0,21,2003,1
318,13,6,0,4,2003,1
319,13,42,0,5,2003,1
320,13,2,0,22,2003,1
321,13,6,0,23,2003,1
322,13,30,12,19,2003,1
323,13,54,0,24,2003,1
324,13,6,0,29,2003,1
325,13,84,12,25,2003,1
326,13,18,0,31,2003,1
327,13,6,0,17,2003,1
328,13,6,0,34,2003,1
329,13,1236,190,6,2003,1
330,13,6,6,26,2003,1
331,13,6,0,8,2003,1
332,13,18,0,27,2003,1
333,13,6,0,9,2003,1
334,13,4092,504,10,2003,1
335,13,54,12,11,2003,1
336,13,24,0,12,2003,1
337,13,444,0,13,2003,1
338,13,378,30,14,2003,1
339,14,6,0,18,2003,1
340,14,1504,228,0,2003,1
341,14,42498,3876,1,2003,1
342,14,6,0,32,2003,1
343,14,6,0,33,2003,1
344,14,42,0,2,2003,1
345,14,60,0,3,2003,1
346,14,18,0,20,2003,1
347,14,12,0,21,2003,1
348,14,6,0,4,2003,1
349,14,24,0,5,2003,1
350,14,6,0,23,2003,1
351,14,30,12,19,2003,1
352,14,54,0,24,2003,1
353,14,6,0,29,2003,1
354,14,84,12,25,2003,1
355,14,18,0,31,2003,1
356,14,6,0,17,2003,1
357,14,6,0,34,2003,1
358,14,1236,192,6,2003,1
359,14,6,6,26,2003,1
360,14,6,0,8,2003,1
361,14,18,0,27,2003,1
362,14,6,0,9,2003,1
363,14,4040,504,10,2003,1
364,14,54,12,11,2003,1
365,14,24,0,12,2003,1
366,14,441,0,13,2003,1
367,14,378,30,14,2003,1
368,15,2,0,18,2003,1
369,15,500,76,0,2003,1
370,15,14166,1292,1,2003,1
371,15,2,0,32,2003,1
372,15,2,0,33,2003,1
373,15,14,1,2,2003,1
374,15,20,0,3,2003,1
375,15,6,0,20,2003,1
376,15,4,0,21,2003,1
377,15,2,0,4,2003,1
378,15,8,0,5,2003,1
379,15,2,0,23,2003,1
380,15,10,4,19,2003,1
381,15,18,0,24,2003,1
382,15,2,0,29,2003,1
383,15,28,4,25,2003,1
384,15,6,0,31,2003,1
385,15,2,0,17,2003,1
386,15,2,0,34,2003,1
387,15,412,64,6,2003,1
388,15,2,2,26,2003,1
389,15,2,0,8,2003,1
390,15,6,0,27,2003,1
391,15,2,0,9,2003,1
392,15,1342,168,10,2003,1
393,15,18,4,11,2003,1
394,15,8,0,12,2003,1
395,15,150,0,13,2003,1
396,15,126,10,14,2003,1
